     lag        AC          Q       PAC  Prob(>Q)
0    1.0 -0.007832   0.003684 -0.007832  0.951601
1    2.0 -0.034991   0.078547 -0.035054  0.961488
2    3.0  0.110158   0.834268  0.109741  0.841254
3    4.0 -0.209845   3.628420 -0.212543  0.458622
4    5.0  0.032377   3.696214  0.045732  0.593928
5    6.0 -0.014625   3.710318 -0.047441  0.715810
6    7.0 -0.091252   4.270381 -0.042219  0.748161
7    8.0  0.040400   4.382399 -0.013141  0.821080
8    9.0 -0.170494   6.419001 -0.165478  0.697360
9   10.0 -0.068265   6.752451 -0.063286  0.748590
10  11.0  0.043960   6.893732 -0.001317  0.807623
11  12.0 -0.076994   7.336753 -0.046297  0.834581
12  13.0 -0.029495   7.403244 -0.094744  0.880193
13  14.0 -0.012612   7.415683 -0.050912  0.917498
14  15.0 -0.105113   8.300372 -0.110314  0.911176
15  16.0  0.132473   9.739837  0.099096  0.879857
16  17.0 -0.004322   9.741407 -0.049619  0.914103
17  18.0 -0.062000  10.072880 -0.081076  0.929502
18  19.0  0.179349  12.919588  0.094027  0.842662
19  20.0 -0.127123  14.388427 -0.114585  0.810268
20  21.0 -0.080413  14.992481 -0.098544  0.823329
21  22.0 -0.089646  15.764664 -0.219035  0.827391
22  23.0 -0.146777  17.895558 -0.115386  0.763130
23  24.0  0.048792  18.138168 -0.073842  0.796255
24  25.0  0.088047  18.952889  0.078871  0.799374
25  26.0 -0.074656  19.557519 -0.154298  0.812048
26  27.0 -0.000044  19.557520 -0.145103  0.848802
27  28.0  0.016107  19.587604 -0.031687  0.879029
28  29.0  0.009882  19.599334 -0.026108  0.904945
29  30.0  0.123339  21.494135  0.010018  0.871803
30  31.0  0.122077  23.421762  0.035751  0.833412
31  32.0  0.039400  23.630581 -0.039330  0.857475
32  33.0  0.096707  24.941059  0.046486  0.841990
33  34.0 -0.061935  25.501950 -0.036615  0.852873
34  35.0  0.130607  28.109533  0.073283  0.789200
35  36.0 -0.030792  28.261375 -0.122787  0.817755
36  37.0 -0.134304  31.294412 -0.095946  0.733080
37  38.0 -0.015826  31.338745 -0.100091  0.769199
38  39.0 -0.050048  31.806723  0.047282  0.786386
39  40.0  0.008199  31.820020  0.013802  0.818485
